p,rbo_a_max,rbo_a_min,rbo_a_ext,rbo_low_max,rbo_low_min,rbo_low_ext,rbo_hig_max,rbo_hig_min,rbo_hig_ext,rbo_avg_max,rbo_avg_min,rbo_avg_ext,sys1,sys2,topic
0.8,0.605649996826042,0.605649996825987,0.605649996826042,0.605649996826042,0.605649996825987,0.605649996826042,0.605649996826042,0.605649996825987,0.605649996826042,0.605649996826042,0.60564999682606,0.605649996826042,ICTNET11ADR2,ICTNET11ADR3,101
0.9,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172846,0.700405012172824,0.700405012172846,ICTNET11ADR2,ICTNET11ADR3,101
0.95,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325795,0.743275130325785,0.743275130325795,ICTNET11ADR2,ICTNET11ADR3,101
0.8,0.908535014351551,0.908535014351495,0.908535014351551,0.908535014351551,0.908535014351495,0.908535014351551,0.908535014351551,0.908535014351495,0.908535014351551,0.908535014351551,0.908535014351514,0.908535014351551,ICTNET11ADR2,ICTNET11ADR3,102
0.9,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864575,0.867062933864569,0.867062933864575,ICTNET11ADR2,ICTNET11ADR3,102
0.95,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787493,0.883067669787484,0.883067669787493,ICTNET11ADR2,ICTNET11ADR3,102
0.8,0.629869379625196,0.629869379625141,0.629869379625196,0.629869379625196,0.629869379625141,0.629869379625196,0.629869379625196,0.629869379625141,0.629869379625196,0.629869379625196,0.629869379625177,0.629869379625196,ICTNET11ADR2,ICTNET11ADR3,103
0.9,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247788,0.718121491247782,0.718121491247788,ICTNET11ADR2,ICTNET11ADR3,103
0.95,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162093,0.788816890162085,0.788816890162093,ICTNET11ADR2,ICTNET11ADR3,103
0.8,0.401024669595764,0.401024669595708,0.401024669595764,0.401024669595764,0.401024669595708,0.401024669595764,0.401024669595764,0.401024669595708,0.401024669595764,0.401024669595764,0.401024669595699,0.401024669595764,ICTNET11ADR2,ICTNET11ADR3,104
0.9,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429531,0.492744130429502,0.492744130429531,ICTNET11ADR2,ICTNET11ADR3,104
0.95,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052241,0.594875255052246,0.594875255052241,ICTNET11ADR2,ICTNET11ADR3,104
0.8,0.332297263008639,0.332297263008584,0.332297263008639,0.332297263008639,0.332297263008584,0.332297263008639,0.332297263008639,0.332297263008584,0.332297263008639,0.332297263008639,0.332297263008627,0.332297263008639,ICTNET11ADR2,ICTNET11ADR3,105
0.9,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559703,0.489904411559665,0.489904411559703,ICTNET11ADR2,ICTNET11ADR3,105
0.95,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386186,0.620208353386165,0.620208353386186,ICTNET11ADR2,ICTNET11ADR3,105
0.8,0.250856480369826,0.25085648036977,0.250856480369826,0.250856480369826,0.25085648036977,0.250856480369826,0.250856480369826,0.25085648036977,0.250856480369826,0.250856480369826,0.250856480369805,0.250856480369826,ICTNET11ADR2,ICTNET11ADR3,106
0.9,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504157032,0.426350504156997,0.426350504157032,ICTNET11ADR2,ICTNET11ADR3,106
