p,rbo_a_max,rbo_a_min,rbo_a_ext,rbo_low_max,rbo_low_min,rbo_low_ext,rbo_hig_max,rbo_hig_min,rbo_hig_ext,rbo_avg_max,rbo_avg_min,rbo_avg_ext,sys1,sys2,topic
0.8,0.0853870727661769,0.0853870727661372,0.0853870727661769,0.054098183877288,0.0540981838772483,0.054098183877288,0.122364850543955,0.122364850543915,0.122364850543955,0.0853870727661769,0.0853870727661388,0.0853870727661769,ICTNETADRun3,ICTNETADRun4,1
0.9,0.0882531310248447,0.0882531310248447,0.0882531310248447,0.0671031305591103,0.0671031305591103,0.0671031305591103,0.112328131585842,0.112328131585842,0.112328131585842,0.0882531310248447,0.0882531310248345,0.0882531310248447,ICTNETADRun3,ICTNETADRun4,1
0.95,0.09290891896033,0.09290891896033,0.09290891896033,0.0807496384839993,0.0807496384839993,0.0807496384839993,0.106509753040294,0.106509753040294,0.106509753040294,0.09290891896033,0.0929089189603235,0.09290891896033,ICTNETADRun3,ICTNETADRun4,1
0.8,0.843862404737333,0.843862404737281,0.843862404737333,0.843862404737333,0.843862404737281,0.843862404737333,0.843862404737333,0.843862404737281,0.843862404737333,0.843862404737333,0.843862404737308,0.843862404737333,ICTNETADRun3,ICTNETADRun4,2
0.9,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850825,0.750322627850841,0.750322627850825,ICTNETADRun3,ICTNETADRun4,2
0.95,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532701,0.685390047532685,0.685390047532701,ICTNETADRun3,ICTNETADRun4,2
0.8,0.0113148674479425,0.0113148674479212,0.0113148674479425,0.0113148674479425,0.0113148674479212,0.0113148674479425,0.0113148674479425,0.0113148674479212,0.0113148674479425,0.0113148674479425,0.0113148674479362,0.0113148674479425,ICTNETADRun3,ICTNETADRun4,3
0.9,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.041709092025575,0.0417090920255734,0.041709092025575,ICTNETADRun3,ICTNETADRun4,3
0.95,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561572,0.0760716689561546,0.0760716689561572,ICTNETADRun3,ICTNETADRun4,3
0.8,0.471317308267339,0.471317308267286,0.471317308267339,0.471317308267339,0.471317308267286,0.471317308267339,0.471317308267339,0.471317308267286,0.471317308267339,0.471317308267339,0.471317308267317,0.471317308267339,ICTNETADRun3,ICTNETADRun4,4
0.9,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.50749305483954,0.507493054839566,0.50749305483954,ICTNETADRun3,ICTNETADRun4,4
0.95,0.625091541679099,0.625091541679099,0.625091541679099,0.625091541678752,0.625091541678752,0.625091541678752,0.625091541679446,0.625091541679446,0.625091541679446,0.625091541679099,0.625091541679085,0.625091541679099,ICTNETADRun3,ICTNETADRun4,4
0.8,0.233025595813901,0.233025595813887,0.233025595813901,0.233025595813901,0.233025595813887,0.233025595813901,0.233025595813901,0.233025595813887,0.233025595813901,0.233025595813901,0.233025595813885,0.233025595813901,ICTNETADRun3,ICTNETADRun4,5
0.9,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232165,0.292292501232168,0.292292501232165,ICTNETADRun3,ICTNETADRun4,5
0.95,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781628,0.292792473781626,0.292792473781628,ICTNETADRun3,ICTNETADRun4,5
0.8,0.988519394270987,0.988519394270933,0.988519394270987,0.986655259088929,0.986655259088874,0.986655259088929,0.990383529453046,0.990383529452991,0.990383529453046,0.988519394270987,0.988519394270952,0.988519394270987,ICTNETADRun3,ICTNETADRun4,6
0.9,0.952309211063454,0.952309211063454,0.952309211063454,0.949917483149976,0.949917483149976,0.949917483149976,0.954700938976932,0.954700938976932,0.954700938976932,0.952309211063454,0.952309211063443,0.952309211063454,ICTNETADRun3,ICTNETADRun4,6
0.95,0.921287260928962,0.921287260928962,0.921287260928962,0.919437405078117,0.919437405078117,0.919437405078117,0.923137116779806,0.923137116779806,0.923137116779806,0.921287260928962,0.921287260928958,0.921287260928962,ICTNETADRun3,ICTNETADRun4,6
0.8,0.00245002906815075,0.00245002906814581,0.00245002906815075,0.00245002906815075,0.00245002906814581,0.00245002906815075,0.00245002906815075,0.00245002906814581,0.00245002906815075,0.00245002906815075,0.00245002906815017,0.00245002906815075,ICTNETADRun3,ICTNETADRun4,7
0.9,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952405,0.033593443952406,0.033593443952405,ICTNETADRun3,ICTNETADRun4,7
0.95,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,0.121189522349375,ICTNETADRun3,ICTNETADRun4,7
0.8,0.536995926068256,0.536995926068209,0.536995926068256,0.536995926068256,0.536995926068209,0.536995926068256,0.536995926068256,0.536995926068209,0.536995926068256,0.536995926068256,0.536995926068187,0.536995926068256,ICTNETADRun3,ICTNETADRun4,8
0.9,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570131,0.628920761570144,0.628920761570131,ICTNETADRun3,ICTNETADRun4,8
0.95,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284955,0.673778901284933,0.673778901284955,ICTNETADRun3,ICTNETADRun4,8
0.8,0.165933719967729,0.165933719967709,0.165933719967729,0.165933719967729,0.165933719967709,0.165933719967729,0.165933719967729,0.165933719967709,0.165933719967729,0.165933719967729,0.165933719967711,0.165933719967729,ICTNETADRun3,ICTNETADRun4,9
0.9,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840185,0.204012074840181,0.204012074840185,ICTNETADRun3,ICTNETADRun4,9
0.95,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.220804588712409,0.22080458871241,0.220804588712409,ICTNETADRun3,ICTNETADRun4,9
0.8,0.185031863151064,0.185031863151037,0.185031863151064,0.185031863151064,0.185031863151037,0.185031863151064,0.185031863151064,0.185031863151037,0.185031863151064,0.185031863151064,0.185031863151067,0.185031863151064,ICTNETADRun3,ICTNETADRun4,10
0.9,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986394,0.244593118986384,0.244593118986394,ICTNETADRun3,ICTNETADRun4,10
0.95,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590837,0.281040896590831,0.281040896590837,ICTNETADRun3,ICTNETADRun4,10
0.8,0.707021348825306,0.707021348825251,0.707021348825306,0.707021348825306,0.707021348825251,0.707021348825306,0.707021348825306,0.707021348825251,0.707021348825306,0.707021348825306,0.707021348825265,0.707021348825306,ICTNETADRun3,ICTNETADRun4,11
0.9,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347138,0.760155966347156,0.760155966347138,ICTNETADRun3,ICTNETADRun4,11
0.95,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403115,0.756197404403099,0.756197404403115,ICTNETADRun3,ICTNETADRun4,11
0.8,0.0171370631271461,0.0171370631270933,0.0171370631271461,0.00289285996673827,0.00289285996668548,0.00289285996673827,0.0309628104869242,0.0309628104868714,0.0309628104869242,0.0171370631271461,0.0171370631271088,0.0171370631271461,ICTNETADRun3,ICTNETADRun4,12
0.9,0.097651532955835,0.097651532955835,0.097651532955835,0.0471809823394772,0.0471809823394772,0.0471809823394772,0.144226467549928,0.144226467549928,0.144226467549928,0.097651532955835,0.0976515329558525,0.097651532955835,ICTNETADRun3,ICTNETADRun4,12
0.95,0.264090619536708,0.264090619536708,0.264090619536708,0.19604334768708,0.19604334768708,0.19604334768708,0.328674268869124,0.328674268869124,0.328674268869124,0.264090619536708,0.264090619536714,0.264090619536708,ICTNETADRun3,ICTNETADRun4,12
0.8,0.352391639200334,0.352391639200282,0.352391639200334,0.351413055691593,0.351413055691542,0.351413055691593,0.35337021368746,0.353370213687408,0.35337021368746,0.352391639200334,0.352391639200277,0.352391639200334,ICTNETADRun3,ICTNETADRun4,13
0.9,0.506801108793202,0.506801108793202,0.506801108793202,0.505153816465735,0.505153816465735,0.505153816465735,0.508446081921825,0.508446081921825,0.508446081921825,0.506801108793202,0.506801108793196,0.506801108793202,ICTNETADRun3,ICTNETADRun4,13
0.95,0.637788452452846,0.637788452452846,0.637788452452846,0.636199715478042,0.636199715478042,0.636199715478042,0.639356828171661,0.639356828171661,0.639356828171661,0.637788452452846,0.637788452452841,0.637788452452846,ICTNETADRun3,ICTNETADRun4,13
0.8,0.757681906266022,0.757681906265971,0.757681906266022,0.757681906266022,0.757681906265971,0.757681906266022,0.757681906266022,0.757681906265971,0.757681906266022,0.757681906266022,0.757681906265986,0.757681906266022,ICTNETADRun3,ICTNETADRun4,14
0.9,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.742489041648068,0.74248904164809,0.742489041648068,ICTNETADRun3,ICTNETADRun4,14
0.95,0.738468953754163,0.738468953754163,0.738468953754163,0.738468953754162,0.738468953754162,0.738468953754162,0.738468953754165,0.738468953754165,0.738468953754165,0.738468953754163,0.738468953754173,0.738468953754163,ICTNETADRun3,ICTNETADRun4,14
0.8,0.0954631744885235,0.0954631744885043,0.0954631744885235,0.0954631744885235,0.0954631744885043,0.0954631744885235,0.0954631744885235,0.0954631744885043,0.0954631744885235,0.0954631744885235,0.0954631744885148,0.0954631744885235,ICTNETADRun3,ICTNETADRun4,15
0.9,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580321,0.127865856580317,0.127865856580321,ICTNETADRun3,ICTNETADRun4,15
0.95,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968772,0.142163283968761,0.142163283968772,ICTNETADRun3,ICTNETADRun4,15
0.8,0.423354288036646,0.423354288036603,0.423354288036646,0.423354288036646,0.423354288036603,0.423354288036646,0.423354288036646,0.423354288036603,0.423354288036646,0.423354288036646,0.423354288036648,0.423354288036646,ICTNETADRun3,ICTNETADRun4,16
0.9,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519244,0.349788138519241,0.349788138519244,ICTNETADRun3,ICTNETADRun4,16
0.95,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094484,0.365297024094473,0.365297024094484,ICTNETADRun3,ICTNETADRun4,16
0.8,0.125045840080987,0.125045840080959,0.125045840080987,0.125045840080987,0.125045840080959,0.125045840080987,0.125045840080987,0.125045840080959,0.125045840080987,0.125045840080987,0.125045840080986,0.125045840080987,ICTNETADRun3,ICTNETADRun4,17
0.9,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718828,0.252498768718826,0.252498768718828,ICTNETADRun3,ICTNETADRun4,17
0.95,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990812,0.342855712990813,0.342855712990812,ICTNETADRun3,ICTNETADRun4,17
0.8,0.282910193405911,0.282910193405856,0.282910193405911,0.282910193405911,0.282910193405856,0.282910193405911,0.282910193405911,0.282910193405856,0.282910193405911,0.282910193405911,0.282910193405883,0.282910193405911,ICTNETADRun3,ICTNETADRun4,18
0.9,0.383869443258984,0.383869443258984,0.383869443258984,0.383869443258734,0.383869443258734,0.383869443258734,0.383869443259234,0.383869443259234,0.383869443259234,0.383869443258984,0.383869443258997,0.383869443258984,ICTNETADRun3,ICTNETADRun4,18
0.95,0.44958941995925,0.44958941995925,0.44958941995925,0.449589413364682,0.449589413364682,0.449589413364682,0.449589426553227,0.449589426553227,0.449589426553227,0.44958941995925,0.449589419959251,0.44958941995925,ICTNETADRun3,ICTNETADRun4,18
0.8,0.0909780408756268,0.0909780408756189,0.0909780408756268,0.0909780408756268,0.0909780408756189,0.0909780408756268,0.0909780408756268,0.0909780408756189,0.0909780408756268,0.0909780408756268,0.0909780408756191,0.0909780408756268,ICTNETADRun3,ICTNETADRun4,19
0.9,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505885,0.167416859505882,0.167416859505885,ICTNETADRun3,ICTNETADRun4,19
0.95,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885847,0.204204038885848,0.204204038885847,ICTNETADRun3,ICTNETADRun4,19
0.8,0.817208362985608,0.817208362985554,0.817208362985608,0.817208362985096,0.817208362985041,0.817208362985096,0.817208362986121,0.817208362986067,0.817208362986121,0.817208362985608,0.817208362985639,0.817208362985608,ICTNETADRun3,ICTNETADRun4,20
0.9,0.865537390637332,0.865537390637332,0.865537390637332,0.865537369769411,0.865537369769411,0.865537369769411,0.865537411505253,0.865537411505253,0.865537411505253,0.865537390637332,0.865537390637352,0.865537390637332,ICTNETADRun3,ICTNETADRun4,20
0.95,0.905838600323622,0.905838600323622,0.905838600323622,0.905836726895805,0.905836726895805,0.905836726895805,0.905840473751439,0.905840473751439,0.905840473751439,0.905838600323622,0.905838600323598,0.905838600323622,ICTNETADRun3,ICTNETADRun4,20
0.8,0.524480725017395,0.524480725017341,0.524480725017395,0.524480725017395,0.524480725017341,0.524480725017395,0.524480725017395,0.524480725017341,0.524480725017395,0.524480725017395,0.524480725017383,0.524480725017395,ICTNETADRun3,ICTNETADRun4,21
0.9,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292857,0.639856642292822,0.639856642292857,ICTNETADRun3,ICTNETADRun4,21
0.95,0.698918822661853,0.698918822661853,0.698918822661853,0.698918822661738,0.698918822661738,0.698918822661738,0.698918822661968,0.698918822661968,0.698918822661968,0.698918822661853,0.698918822661846,0.698918822661853,ICTNETADRun3,ICTNETADRun4,21
0.8,0.180776545759164,0.180776545759123,0.180776545759164,0.180776545759164,0.180776545759123,0.180776545759164,0.180776545759164,0.180776545759123,0.180776545759164,0.180776545759164,0.180776545759159,0.180776545759164,ICTNETADRun3,ICTNETADRun4,22
0.9,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658805,0.293166642658813,0.293166642658805,ICTNETADRun3,ICTNETADRun4,22
0.95,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322617,0.387417149322621,0.387417149322617,ICTNETADRun3,ICTNETADRun4,22
0.8,0.476272889043273,0.47627288904322,0.476272889043273,0.422884348029157,0.422884348029104,0.422884348029157,0.597641228929897,0.597641228929845,0.597641228929897,0.476272889043273,0.47627288904323,0.476272889043273,ICTNETADRun3,ICTNETADRun4,23
0.9,0.604824635555306,0.604824635555306,0.604824635555306,0.537526062691907,0.537526062691907,0.537526062691907,0.743992011504816,0.743992011504816,0.743992011504816,0.604824635555306,0.604824635555309,0.604824635555306,ICTNETADRun3,ICTNETADRun4,23
0.95,0.72439918903499,0.72439918903499,0.72439918903499,0.665216040552584,0.665216040552584,0.665216040552584,0.840391785521267,0.840391785521267,0.840391785521267,0.72439918903499,0.724399189034989,0.72439918903499,ICTNETADRun3,ICTNETADRun4,23
0.8,0.227969746314679,0.227969746314629,0.227969746314679,0.227968297571136,0.227968297571086,0.227968297571136,0.227971195058222,0.227971195058173,0.227971195058222,0.227969746314679,0.227969746314614,0.227969746314679,ICTNETADRun3,ICTNETADRun4,24
0.9,0.392162954075921,0.392162954075921,0.392162954075921,0.392123221448858,0.392123221448858,0.392123221448858,0.392202686702985,0.392202686702985,0.392202686702985,0.392162954075921,0.392162954075906,0.392162954075921,ICTNETADRun3,ICTNETADRun4,24
0.95,0.549262557168371,0.549262557168371,0.549262557168371,0.549137682443567,0.549137682443567,0.549137682443567,0.549387431893175,0.549387431893175,0.549387431893175,0.549262557168371,0.549262557168373,0.549262557168371,ICTNETADRun3,ICTNETADRun4,24
0.8,0.969403852795664,0.969403852795609,0.969403852795664,0.969398694712167,0.969398694712112,0.969398694712167,0.969409010879161,0.969409010879106,0.969409010879161,0.969403852795664,0.969403852795665,0.969403852795664,ICTNETADRun3,ICTNETADRun4,25
0.9,0.961048429212822,0.961048429212822,0.961048429212822,0.960969927067868,0.960969927067868,0.960969927067868,0.961126931357776,0.961126931357776,0.961126931357776,0.961048429212822,0.96104842921285,0.961048429212822,ICTNETADRun3,ICTNETADRun4,25
0.95,0.955098390269981,0.955098390269981,0.955098390269981,0.954910110650246,0.954910110650246,0.954910110650246,0.955286669888493,0.955286669888493,0.955286669888493,0.955098390269981,0.955098390269973,0.955098390269981,ICTNETADRun3,ICTNETADRun4,25
0.8,0.00350673112829688,0.00350673112827229,0.00350673112829688,0.00350673112829688,0.00350673112827229,0.00350673112829688,0.00350673112829688,0.00350673112827229,0.00350673112829688,0.00350673112829688,0.00350673112828304,0.00350673112829688,ICTNETADRun3,ICTNETADRun4,26
0.9,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780855,0.0316965213780931,0.0316965213780855,ICTNETADRun3,ICTNETADRun4,26
0.95,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246821,0.0951134814246728,0.0951134814246821,ICTNETADRun3,ICTNETADRun4,26
0.8,0.416747313217278,0.416747313217224,0.416747313217278,0.366008925915691,0.366008925915637,0.366008925915691,0.452688087820453,0.452688087820398,0.452688087820453,0.416747313217278,0.416747313217229,0.416747313217278,ICTNETADRun3,ICTNETADRun4,27
0.9,0.631683509955614,0.631683509955614,0.631683509955614,0.595456838527043,0.595456838527043,0.595456838527043,0.658115352812757,0.658115352812757,0.658115352812757,0.631683509955614,0.631683509955615,0.631683509955614,ICTNETADRun3,ICTNETADRun4,27
0.95,0.761213925653703,0.761213925653703,0.761213925653703,0.739709611380389,0.739709611380389,0.739709611380389,0.77716729638783,0.77716729638783,0.77716729638783,0.761213925653703,0.761213925653705,0.761213925653703,ICTNETADRun3,ICTNETADRun4,27
