p,rbo_a_max,rbo_a_min,rbo_a_ext,rbo_low_max,rbo_low_min,rbo_low_ext,rbo_hig_max,rbo_hig_min,rbo_hig_ext,rbo_avg_max,rbo_avg_min,rbo_avg_ext,sys1,sys2,topic
0.8,0.000112345122922493,0.000112345122918774,0.000112345122922493,0.000112345122922493,0.000112345122918774,0.000112345122922493,0.000112345122922493,0.000112345122918774,0.000112345122922493,0.000112345122922493,0.000112345122918356,0.000112345122922493,clustmrfaf,clustmrfbf,201
0.9,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980757,0.00258464248980772,0.00258464248980757,clustmrfaf,clustmrfbf,201
0.95,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365489,0.0112205408365484,0.0112205408365489,clustmrfaf,clustmrfbf,201
0.8,0.404721081204243,0.40472108120424,0.404721081204243,0.404721081204243,0.40472108120424,0.404721081204243,0.404721081204243,0.40472108120424,0.404721081204243,0.404721081204243,0.40472108120424,0.404721081204243,clustmrfaf,clustmrfbf,202
0.9,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,0.273255065547327,clustmrfaf,clustmrfbf,202
0.95,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,0.203706936616557,clustmrfaf,clustmrfbf,202
0.8,0.000935065561910441,0.000935065561906888,0.000935065561910441,0.000935065561910441,0.000935065561906888,0.000935065561910441,0.000935065561910441,0.000935065561906888,0.000935065561910441,0.000935065561910441,0.000935065561908033,0.000935065561910441,clustmrfaf,clustmrfbf,203
0.9,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330635,0.00807296815330637,0.00807296815330635,clustmrfaf,clustmrfbf,203
0.95,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479481,0.0216783735479477,0.0216783735479481,clustmrfaf,clustmrfbf,203
0.8,0.00127456226675688,0.00127456226675305,0.00127456226675688,0.00127456226675688,0.00127456226675305,0.00127456226675688,0.00127456226675688,0.00127456226675305,0.00127456226675688,0.00127456226675688,0.00127456226675449,0.00127456226675688,clustmrfaf,clustmrfbf,204
0.9,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040561,0.00995156716040747,0.00995156716040561,clustmrfaf,clustmrfbf,204
0.95,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381269,0.0260053996381254,0.0260053996381269,clustmrfaf,clustmrfbf,204
0.8,2.58415847670271e-06,2.58415847248387e-06,2.58415847670271e-06,2.58415847670271e-06,2.58415847248387e-06,2.58415847670271e-06,2.58415847670271e-06,2.58415847248387e-06,2.58415847670271e-06,2.58415847670271e-06,2.58415847653737e-06,2.58415847670271e-06,clustmrfaf,clustmrfbf,205
0.9,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240411,0.000384951866240928,0.000384951866240411,clustmrfaf,clustmrfbf,205
